Source gouvernementale                        ;Type de source gouvernementale              ;Origine de la source
adaptation-changement-climatique.gouv.fr      ;Ressource nationale (climat)                ;
adresse.data.gouv.fr                          ;Ressource nationale (données ouvertes)      ;
agglo-heraultmediterranee.net                 ;Ressource locale (agglomération)            ;collectivités
agglopole.fr                                  ;Ressource locale (agglomération)            ;collectivités
aisne.gouv.fr                                 ;Ressource départementale                    ;
annuaire-mairie.fr                            ;Service d'information (mairies)             ;collectivités
boamp.fr                                      ;Ressource nationale (marchés publics)       ;
bretagne.bzh                                  ;Ressource régionale                         ;collectivités ou association
cotes-darmor.gouv.fr                          ;Ressource départementale                    ;
engagespourlanature.ofb.fr                    ;Ressource nationale (biodiversité)          ;
geoportail-urbanisme.gouv.fr                  ;Organisme public spécialisé (urbanisme)     ;
georisques.gouv.fr                            ;Organisme public spécialisé (risques)       ;
grandest.fr                                   ;Ressource régionale                         ;
hauts-de-france.developpement-durable.gouv.fr ;Ressource régionale (développement durable) ;
herault.fr                                    ;Ressource départementale                    ;collectivités
herault.gouv.fr                               ;Ressource départementale                    ;
hopital-louis-mourier.aphp.fr                 ;Organisme public spécialisé (santé)         ;
inpn.mnhn.fr                                  ;Ressource nationale (biodiversité)          ;
laregion.fr                                   ;Ressource régionale                         ;collectivités
localiser.laposte.fr                          ;Entreprise publique                         ;
lunelagglo.fr                                 ;Ressource locale (agglomération)            ;collectivités
mementodumaire.net                            ;Ressource pour les élus locaux              ;
mon-cadastre.fr                               ;Service d'information (cadastre)            ;
morbihan.gouv.fr                              ;Ressource départementale                    ;
nord.gouv.fr                                  ;Ressource départementale                    ;
normandie.developpement-durable.gouv.fr       ;Ressource régionale (développement durable) ;
occitanie.developpement-durable.gouv.fr       ;Ressource régionale (développement durable) ;
odee.herault.fr                               ;Ressource départementale (observatoire)     ;
si-letouquet.fr                               ;Ressource locale                            ;collectivités
territoires.nouvelle-aquitaine.fr             ;Ressource régionale                         ;collectivités
urbanisme-puca.gouv.fr                        ;Organisme public spécialisé (urbanisme)     ;
vic-la-gardiole.fr                            ;Ressource locale (municipale)               ;collectivités
ville-agde.fr                                 ;Ressource locale (municipale)               ;collectivités
ville-portiragnes.fr                          ;Ressource locale (municipale)               ;collectivités
villeneuve-les-beziers.fr                     ;Ressource locale (municipale)               ;collectivités
auvergnerhonealpes.fr                         ;Ressource régionale                         ;collectivités
banquedesterritoires.fr                       ;Organisme public spécialisé (territoires)   ;
cerema.fr                                     ;Organisme public spécialisé (aménagement)   ;
debatpublic.fr  association                   ;Autorité administrative indépendante        ;
entreprises.gouv.fr                           ;Ressource nationale (économie)              ;
ficheinfoterre.brgm.fr  recherche             ;Organisme public spécialisé (géologie)      ;
frontignan.fr                                 ;Ressource locale (municipale)               ;collectivités
insee.fr                                      ;Ressource nationale (statistiques)          ;
inventaire-forestier.ign.fr                   ;Ressource nationale (forêts)                ;
legifrance.gouv.fr                            ;Ressource nationale (législation)           ;
meteofrance.com                               ;Organisme public spécialisé (météorologie)  ;
montpellier3m.fr                              ;Ressource locale (métropole)                ;collectivités
notre-environnement.gouv.fr                   ;Ressource nationale (environnement)         ;
plu-cadastre.fr                               ;Service d'information (urbanisme)           ;
vendres.com                                   ;Ressource locale (municipale)               ;collectivités
vie-publique.fr                               ;Ressource nationale (information publique)  ;association
ville-marseillan.fr                           ;Ressource locale (municipale)               ;collectivités